hastalık,nedir,belirtiler
Hipertansiyon,"Halk arasında yüksek tansiyon olarak bilinen hipertansiyon, kanın damar duvarına yaptığı basıncın artması sonucu oluşan önemli bir sağlık sorunudur. Kan basıncı (tansiyon) ölçülürken büyük veküçük tansiyontespit edilir.Büyük tansiyon(sistol), kalbin kanı ana damar olan aorta atması sırasında oluşan basınçtır. Küçük tansiyon (diyastol) ise kalbin tekrar pompalamak üzere yeniden dolmaya başlamadan önceki damar sisteminin yaptığı basıncın en küçük değeri olarak bilinir. Stres, heyecan ve egzersiz gibi durumlarda büyük tansiyon normal olarak yükselebilir fakat küçük tansiyon bu durumlarda yükseliyorsa sistemik bir rahatsızlık olma ihtimali göz önünde bulundurulmalıdır.",
Hipofiz Bezi Tümörü,,
HPV,"HPV (İnsan Papilloma Virüsü) cinsel yolla bulaşan bir virüstür. HPV virüsleri deri ve mukoza zarlarını etkileyen birden fazla virüs türünden oluşan bir ailedir. HPV'nin çeşitli varyasyonları vardır ve bazıları enfeksiyonlara sebep olabilirken bazıları hiçbir semptom gelişmesine neden olmaz. En yaygın belirtisi genital bölgede veya anüs çevresinde oluşan siğillerdir. Bununla birlikte, çoğu HPV enfeksiyonu sessizdir ve kişi hiçbir belirti veya semptom yaşamaz.","HPV'nin (İnsan Papilloma Virüsü) belirtileri çoğunlukla asemptomatiktir, yani hiçbir belirti göstermez. Ancak bazı durumlarda HPV çeşitli semptomlara neden olabilir. HPV'nin belirtileri virüsün hangi türünün neden olduğuna ve vücutta hangi bölgenin etkilendiğine bağlı olarak değişebilir. Genital siğiller: HPV'nin en yaygın belirtisi olan siğiller, çoğunlukla küçük, et benzeri çıkıntılar şeklinde ortaya çıkar. Kadın HPV belirtileri arasında vulva, vajina, rahim ağzında, erkek HPV belirtileri arasında ise penis veya anüs çevresinde siğiller görülebilirler. Siğiller bazen tek bir oluşum şeklinde ortaya çıkabilir veya bir grup halinde görülebilir. Siğiller renkli veya cilt renginde olabilir ve genellikle ağrısızdır, ancak kaşıntı veya rahatsızlık hissi verebilirler.Servikal hücre değişiklikleri:HPV türlerinden yüksek riskli olanlar, rahim ağzındaki hücrelerde değişikliklere yol açabilir. Bu değişiklikler bir Pap Smear Testi sırasında veya servikal biyopsi sonucunda tespit edilebilir. Bu tür hücre değişiklikleri genellikle asemptomatiktir ve yalnızca tıbbi testlerle tespit edilebilir.Anüs bölgesinde siğiller:HPV enfeksiyonu anüs bölgesinde de siğillere neden olabilir. Bu siğiller genellikle anüs çevresinde veya rektum içinde bulunur. Siğiller küçük veya büyük olabilir, tek veya çoklu oluşumlar şeklinde görülebilir."
Huzursuz Bacak Sendromu,,
Huzursuz Bağırsak Sendromu,,
İdrar Kaçırma,"İdrar kaçırma tanımı idrarırın tutulamama durumu veya istem dışı atılması şeklinde yapılabilir. Tıbbi tanımı üriner inkontinansdır. Görülme sıklığı üzerine yapılan çeşitli çalışmalarda kadında %4.5-53, erkekte %1.6-24 gibi bir aralığa sahip olduğu bulunmuştur. Aralığın bu kadar geniş olmasının sebebi idrar kaçırma tanımlarının farklılık göstermesidir. Kadınlarda idrar kaçırma durumu, erkeklerden 3-4 daha sık rastlanan bir sorundur. İdrar kaçırma, cinsiyet fark etmeksizin yaş ilerledikçe artış göstermektedir.",
İdrar Yolu Enfeksiyonu,"İdrar Yolu Enfeksiyonu, idrar yolunun herhangi bir kısmında meydana gelen enfeksiyondur. İdrar yolu, böbrekler, üreterler (böbrekleri mesaneye bağlayan kanallar), mesane ve üretradan (idrarı vücuttan dışarı taşıyan kanal) oluşur. İdrar yolu enfeksiyonu genellikle bakterilerin idrar yoluna girmesi ve çoğalması sonucunda gelişir. İdrar yolu enfeksiyonunun en yaygın türü, mesanede bulunan enfeksiyonlardır (sistit), ancak böbreklerdeki enfeksiyonlar da daha ciddi ve tedavi gerektiren bir durumdur.","İdrar yolu enfeksiyonu, idrar yollarında bakteri üremesi sonucu oluşan bir enfeksiyondur. Genellikle kadınlarda daha sık görülse de erkeklerde ve çocuklarda da ortaya çıkabilir.İdrar yolu enfeksiyonubelirtileri şunlardır: Sık idrara çıkma:Normalden daha sık idrara çıkma ihtiyacı hissetmek.İdrar yaparken yanma:İdrar yaparken yanma hissi.Acil idrara çıkma ihtiyacı:Aniden ve kontrolsüz bir şekilde idrara çıkma ihtiyacı hissetmek.İdrarda yanma:İdrarın koyu renkli, bulanık veya kanlı olması.Kötü kokulu idrar:İdrarın normalden farklı, kötü bir kokusu olması.Karın ağrısı:Özellikle alt karın bölgesinde ağrı veya kramplar.Ateş:Yüksek ateş.Üşüme:Titreme ve üşüme hissi.Halsizlik:Genel bir halsizlik ve yorgunluk hissi."
İnfluenza,İnfluenza hastalığıhastalıkla aynı isme sahip çok çeşitli virüslerin neden olduğu bir hastalıktır. İnfluenza virüsleri çoğunlukla solunum yolu hastalıklarının bulaşma yöntemi olan havada asılı kalan damlacıkların solunum yoluyla alınması veya yüzeylere bulaşmış damlacıklara temas yoluyla bulaşır. Bulaş özelliği çok kolay olduğundan kısa sürede salgınlara neden olabilir. Hastalığın yayılmaya başlamasından önce hastalar virüsü taşıyıcı olarak belirtileri göstermeden bulaştırabilir ve belirtiler etkisini azaltana ve kaybolana kadar bulaşıcılık devam edebilir.,"İnfluenza belirtileriçoğunlukla aniden ortaya çıkar ve birkaç gün içinde şiddetlenebilir. İnfluenza belirtilerinin yaygın olarak karşılaşılan örnekleri: Yüksek Ateş: Grip, genellikle yüksek ateşle başlar ve bu ateş birkaç gün boyunca devam edebilir.Öksürük: Kuru veya balgamlı bir öksürük yaygın belirtiler arasında görülmektedir. Öksürük, virüsün solunum yolu üzerindeki etkilerinin bir sonucu olarak ortaya çıkar.Boğaz Ağrısı: Grip başlangıcında boğaz ağrısı sık görülen bir semptomdur. Boğazın tahriş olması ve ağrı hissi gribin erken görülen belirtilerindendir.Burun Tıkanıklığı veya Akıntısı: Burun tıkanıklığı veya akıntısı da sık rastlanan grip belirtilerindendir. Bu, influenza virüsünün üst solunum yollarına yerleşmesi ve etkilemesinin bir sonucu olarak görülür.Baş Ağrısı: Şiddetli baş ağrıları, grip semptomlarının bir parçasıdır ve kişinin yaşam kalitesini ciddi şekilde etkileyebilir.Kas ve Eklem Ağrıları: Vücudun farklı bölgelerinde yaygın kas ve eklem ağrıları hissedilebilir.Halsizlik ve Yorgunluk: Grip, kişiyi genel olarak halsiz ve bitkin hissettirebilir.Mide Bulantısı ve İshal (Nadir Durumlar): Bazı kişiler grip sırasında mide bulantısı veya ishal yaşayabilirler, ancak bu daha nadir görülen belirtilerdir.."
İnme,"İnme, kan damarlarında herhangi bir problem nedeniyle beyine olan kan akışında problem gelmesi sonucu oluşan durumdur. Bu durum meydana geldiğinde yeterli besin ve oksijenden mahrum kalan beyin hücrelerinin ölümü başlamış olur. Serebrovasküler hadiseler arasında yer alan inmede beyinin beslenmesinden sorumlu kan damarlarında bir problem mevcuttur. Oksijen yetersizliğinin sonucu ise doku hasarı olacağı için biran önce medikal destek sağlanmalıdır.","Sizde veya çevrenizdeki bireylerde inme meydana geldiğinde şikayetlerin başlangıç zamanına dikkat edilmesi oldukça önemlidir. Çeşitli tedavi girişimleri özellikle erken dönemlerinde etkili olması nedeniyle şu şekilde özetlenen belirtilere dikkat etmekte fayda vardır: Çevrede konuşulanları anlayamama veya uygun şekilde cevap verememeYüz, kol veya bacak bölgesinde felç veya uyuşuklukTek veya iki gözde meydana gelen görme problemiAni başlangıçlı ve oldukça şiddetli baş ağrısıYürümede güçlük"
İnsomnia (Uykusuzluk),"İnsomnia hastalığı, uykuya dalmada ya da uykuyu sürdürmede (bazı vakalarda her ikisinde de) zorlukla karakterize bir tür uyku bozukluğudur. Kişinin uyuması için yeterli zamanı ve rahat bir ortamı olmasına rağmen uyuyamaması ile seyreder. Bir uykusuzluğa insomnia demek için, kişinin yaşadığı uyku sorununun gün içinde uykulu olma haline ve odaklanma güçlüğüne yol açması gerekir. Her uykusuzluk durumu insomnia değildir.","İnsomnia belirtilerioldukça çeşitlidir. Ancak en sık karşılaşılabilecek olanlar aşağıdaki gibi sıralanabilir: Geceleri uykuya dalmakta zorlanma,Gece boyunca uyanma,Sabahları çok erken uyanma,Gündüz yorgunluğu,Gündüz uykulu olma hali,Sinirlilik,Depresyon veya anksiyete (kaygı bozukluğu),Dikkat eksikliği,Odaklanmada veya hatırlamada zorluk yaşama veUykuyla ilgili endişelerin olması."
İnsülin Direnci,İnsülin direnci belirtileri olan kişi öncelikle endokrinoloji bölümünde alanında uzman doktora gitmelidir. Alanında uzman doktorinsülin direnci teşhisiiçin bir kaç çeşit tetkik ve tarama yöntemi kullanabilir.,"İnsülin hormonuna karşı bir direnç oluştuğunda bu durumdan vücuttaki  pek çok sistem etkilenir. Dolayısı ile etkilenen bu mekanizmalarda farklı belirtiler ile kendini gösterebilir.İnsülin direnci belirtilerişu şekilde sıralanabilir: Şeker içeren gıdaları yeme isteğinde artışYemek veya şekerli yiyecek yedikten sonra uyku haliHızlı kilo almaKilo vermede zorlukHalsizlik, yorgunluk, konsantrasyon eksikliğiAdet düzensizliğiKaraciğerde yağlanma"
İshal,"İshal, bağırsak hareketlerinin sıvı ve sık olması durumudur. Bu durum, enfeksiyonlar, gıda zehirlenmeleri, ilaçlar veya sindirim sistemi bozuklukları gibi birçok farklı nedenden meydana gelebilir. İshale iyi gelebilecek yöntemlerin başında bol su ve sıvı tüketimi, hafif beslenme şekli, bazı yaşam tarzı değişiklikleri ve ilaç tedavisi gelebilir. Diyare, halk arasında yaygın bilinen adıyla ishal, bağırsak hareketlerinin hızlanması sonucu dışkılamanın sıklaşması ve dışkının sulu veya sıvı halde olması ile karakterize olan bir sindirim sistemi sorunudur. Diyare, bağırsaklardaki normal su ve elektrolit emilim süreçlerinin bozulması sonucunda ortaya çıkar ve yetişkin, çocuk farketmeksizin herkeste görülebilir.","İshalin en karakteristik belirtisi, dışkının normalden daha sık, sulu, sıvı veya gevşek olmasıdır. İshal belirtileri bazı kişilerde  kendiliğinden geçerken bazı kişilerde ise şiddetli veya uzun süreli devam edebilir. İshalin genel olarak görülen belirtilerinden bazıları aşağıdaki gibidir: Karın ağrısı ve mide krampları:İshal, genellikle karın ağrısı ve mide kramplarına neden olabilir. Bu ağrılar, bağırsak hareketlerinin hızlanması ile ilişkilidir.Bulantı ve kusma:Bazı ishal vakalarında bulantı ve kusma da eşlik edebilir. Bu durum özellikle enfeksiyonlara bağlı ishallerde görülebilir.Ateş:İshal durumunda ateş yükselmesi olabilir. Bu durum, bağışıklık sisteminin enfeksiyonla mücadele etmeye çalıştığının bir işaretidir.Halsizlik:İshal durumunda, sıvı ve elektrolit kaybı yaşanabilir, bu da halsizlik hissi ve enerji düşüklüğüne yol açabilir.Kanlı dışkı:İshalde kanlı dışkı, özellikle ciddi enfeksiyonlar veya mevcut bağırsak hastalıklarında görülebilir. Bu durum ciddi bir belirtidir ve tıbbi yardım gerektirir."
Jinekomasti,"Jinekomasti, erkeklerde her yaş grubunda görülebilen genellikle hormonal dengesizliklerden kaynaklı gelişse de farklı sebepler nedeniyle de oluşabilen bir estetik problemdir. Günümüzde ilaç tedavisi veya ameliyat ile jinekomasti tedavisi sağlanabilir.",Jinekomasti genellikle semptom göstermeyen fiziksel değişim ile anlaşılan bir durumdur. Ancak bazı kişilerde jinekomasti gelişimi beraberinde çeşitli belirtileri getirebilir. Jinekomasti belirtileri arasında aşağıdaki başlıklar yer alır. Göğüs çevresinde ağrıMeme dokusunda şişlikGöğüslerde hassasiyetMeme ucunun giysileri sürtünmesi sırasında rahatsızlık hissiyatı
Kabızlık,"Kabızlık, dışkılama sıklığının azalması veya dışkının sert ve zor çıkması olarak tanımlanır. Kabızlığın en sık görülen belirtisi, haftada üçten az dışkılamadır. Ayrıca, dışkıda zorlanma, dışkılama sırasında ağrı, dışkının tamamen boşalmadığı hissi gibi belirtiler de görülebilir.",
Kalça Protezi,"Kalça protezi nedirsorusunun cevabı, hasarlı kalça ekleminin yapay parçalarla değiştirilerek ağrının giderilmesi ve hareket kabiliyetinin artırılmasıdır.Kalça eklemindekireçlenme(osteoartrit), kırıklar, romatizmal hastalıklar veya avasküler nekroz gibi nedenlerle ciddi hasar oluştuğunda, ağrıyı azaltmak, hareket kabiliyetini geri kazandırmak ve yaşam kalitesini artırmak amacıylatotal kalça protezi(TKP) ameliyatı uygulanır.",
Kalp Kası İltihaplanması (Miyokardit),"Miyokardit, kalp kasının iltihaplanması durumudur. Kalp kasının en iç kısmını oluşturan miyokardın iltihaplanması, kalp kasının işlevini etkileyebilir ve ciddi kardiyovasküler sorunlara yol açabilir. Miyokardit genellikle viral enfeksiyonlar, bakteriyel enfeksiyonlar, parazitler, ilaçlar, toksinler veya bağışıklık sistemi tepkileri gibi çeşitli nedenlerden kaynaklanabilir. Miyokardit nedir? sorusunu kısaca","Miyokardit, kalp kasının iltihaplanması sonucu ortaya çıkan bir durumdur ve genellikle çeşitli belirtilerle kendini gösterir. Bu belirtiler arasında göğüs ağrısı, nefes darlığı, yorgunluk, halsizlik, düzensiz kalp atışları, ödem (genellikle ayaklarda ve bacaklarda), ateş, baş dönmesi ve bayılma hissi yer alabilir.Kalp kası iltihabı belirtilerigenellikle kişiden kişiye değişiklik gösterir ve bazı kişilerde belirtiler hafif seyrederken, diğerlerinde daha ciddi olabilir. Bu semptomlar, kalp kasının fonksiyonlarını etkilediği için ciddi bir durumu işaret edebilir ve bu nedenle miyokardit şüphesi durumunda bir sağlık profesyoneli ile görüşmek önemlidir. EKG:EKG, kalbinizin elektriksel aktivitesini kaydeder. EKG, miyokarditin belirtilerini gösterebilir.Kan testleri:Kan testleri, kalp kaslarında iltihaplanma olup olmadığını belirlemek için kullanılabilir. Kan testleri, kalp kaslarına zarar veren veya kalp yetmezliğine yol açabilecek otoantikorlar için de test edilebilir.Ekokardiyografi:Ekokardiyografi, kalpten ses dalgaları kullanarak görüntüler oluşturur. Ekokardiyografi, kalp kaslarının kalınlığını ve işlevini değerlendirmek için kullanılabilir.Kalp kateterizasyonu:Kalp kateterizasyonu, kalbinize bir kateter yerleştirmeyi içerir. Kateter, kan akışını ve kalp basıncını ölçmek için kullanılabilir."
Kalp Yetmezliği,,"Kalp yetmezliği belirtilerigenellikle yeterli kan pompalanmamasına bağlı olarak gelişen sorunlardır. Bunlardan bazılarını şu şekilde tanımlayabiliriz: Hızlı veya derin nefes alma belirtileri,Geceleri artan öksürük,Normal aktiviteler sırasında bile halsizlik yaşama,Kilo alımında zorlanma,Solunum zorluğuna bağlı göğüsü içeri fazla çekme ya da burun deliklerinin şişmesi,Hızlı nabız atışları,Normalden daha fazla terleme,Bazen ciltte solgunluk veya renk değişiklikleri,Kilo kaybı."
Kan Pıhtılaşması (Tromboz),"Kan pıhtılaşması, vücudun doğal savunma mekanizmalarından biridir. Yaralanma durumlarında, kan damarlarının zarar görmesiyle birlikte, kan hücreleri ve pıhtılaşma faktörleri bir araya gelir ve hasarlı bölgeyi tıkayarak kan kaybını durdurur. Bu sürece kan pıhtılaşması denir. Ancak bu mekanizma bazen olması gerektiği yerin dışında, damarın içinde de devreye girebilir. İşte bu duruma tromboz adı verilir.","Kan pıhtısı, vücutta bulunduğu yere göre farklı belirtilerle kendini gösterebilir. Bazı kişilerde hiçbir belirti vermezken, bazılarında ise oldukça belirgin ve rahatsız edici semptomlar oluşabilir. Bacakta ağrı, genellikle baldırda hissedilir ve kramp tarzındadırBacakta aniden başlayan şişlik, genellikle tek taraflıdırDeride kızarıklık, ısı artışı ya da renk değişikliğiCilt yüzeyine yakın damarlarda belirginleşme ve sertlikGöğüs ağrısı, özellikle derin nefes alırken artan batıcı ağrıAni ve açıklanamayan nefes darlığıHızlı veya düzensiz kalp atışıAni başlayan baş dönmesi ya da bayılma hissiKol, bacak veya yüzde ani uyuşma ya da güçsüzlükKonuşmada bozulma veya anlama güçlüğüGörme kaybı ya da bulanıklıkŞiddetli ve ani baş ağrısı"
Kansızlık (Anemi),"Kansızlık (anemi), kandaki kırmızı kan hücrelerinin veya bu hücrelerin taşıdığı hemoglobin düzeyinin normalin altına düşmesi durumudur. Hemoglobin, vücut dokularına oksijen taşıyan proteindir ve eksikliği halinde organlara yeterli oksijen ulaşamaz. Bu durum; halsizlik, solukluk, çarpıntı, baş dönmesi, nefes darlığı gibi belirtilerle kendini gösterir. Kansızlık, demir eksikliği, B12 veya folik asit yetersizliği, kronik hastalıklar, kan kaybı ya da genetik faktörler gibi çeşitli nedenlerle ortaya çıkabilir. Tedavi, altta yatan nedene göre planlanır.","Kansızlık belirtileri, genel hatlarıyla aşağıdaki gibi sıralanabilir: Nefes darlığıGöğüs ağrısıKolay yorulma ve enerji kaybıUykusuzlukBacaklarda kramplarCiltte soluklukBaş dönmesiBaş ağrısıDaha çok egzersizle oluşan alışılmadık derecede hızlı veya düzensiz kalp atışı"
Karaciğer Kanseri,"Karaciğer kanseri, karaciğer hücrelerinin kontrolsüz bir şekilde çoğalmasıyla oluşan, kötü huylu tümörlerin genel adıdır. Bu tümörler, karaciğerin normal işlevlerini bozarak ciddi sağlık sorunlarına yol açabilir. Karaciğer kanseri, genellikle kronik hepatit B ve C,siroz, aşırı alkol tüketimi,karaciğer yağlanmasıgibi durumların sonucunda ortaya çıkar. Erken evrelerde belirti vermemesi nedeniyle, teşhis genellikle hastalık ilerlemiş olduğunda konulur. Tedavi seçenekleri arasında cerrahi, radyoterapi, kemoterapi ve hedefli ilaç tedavileri yer alır. Erken teşhis, başarılı tedavi için çok önemlidir.","Karaciğer kanseri, erken evrelerde belirgin belirtiler vermeyebilir, bu da hastalığın genellikle ileri aşamalarda teşhis edilmesine neden olabilir. Ancak bazı durumlarda, karaciğer kanseri ilerledikçe çeşitli belirtiler ortaya çıkabilir. Tek bir tümör vardır.Tümör damar invazyonu (yayılımı) yapmamıştır.Lenf nodu veya uzak organ metastazı yoktur.Genellikle semptomsuzdur ve tesadüfen tespit edilir."
Karaciğer Yağlanması,"Karaciğer yağlanması(steatoz) karaciğerde yağ birikiminin gerçekleştirdiği bir  tıbbi durumu ifade eder. Bu durum genellikleobezite, yüksek yağlı beslenme tarzı,diyabetgibi sağlık sorunları veya alkol tüketimi gibi çeşitli nedenlerle ortaya çıkabilir. Karaciğer vücudun önemli işlevlerini yerine getiren bir organdır ve yağların normalden fazla birikmesi, karaciğerin işlevlerini olumsuz etkileyebilir.","Karaciğer yağlanması her zaman belirgin semptomlarla kendini göstermeyebilen, ancak uzun vadede ciddi sağlık sorunlarına yol açabilen bir durumdur. Genellikle sessiz ilerler ve teşhis edilmesi için spesifik testlere ihtiyaç duyulur.Karaciğer yağlanması belirtilerişunlardır: Halsizlik ve yorgunluk,Karaciğer hasarı,Karın ağrısı,İştahsızlık ve kilo kaybı,Mide bulantısı,Kusma,Karaciğer büyümesi,Sarılık."
Karın Ağrısı,"Karın ağrısı, karın bölgesinde hissedilen rahatsızlık veya acıdır. Bu ağrı genellikle çeşitli organlardaki rahatsızlıklar veya hastalıkların bir belirtisi olabilir. Karnın farklı bölgelerinde hissedilebilen ve farklı özelliklere sahip olabilen çeşitli tipleri vardır. Karn ağrısı bazen hafif ve geçici olabilirken, bazen ciddi bir sorunun belirtisi olabilir ve tıbbi müdahale gerektirebilir. Karn ağrısının nedenleri arasında sindirim sistemi rahatsızlıkları, enfeksiyonlar, idrar yolu sorunları, üreme sistemi sorunları ve diğer sağlık sorunları yer alabilir.",
Karpal Tünel Sendromu,"Karpal Tünel Sendromu, bileğin iç kısmında bulunan karpal tünel adı verilen dar bir alanın sıkışması sonucu ortaya çıkan bir sinir sıkışması durumudur. Bu sendrom, el ve bilek bölgesinde ağrı, uyuşma ve zayıflık gibi rahatsız edici semptomlara neden olabilir.",
Kasık Fıtığı,"Kasık fıtığı, karın içindeki organ veya dokuların kasık kanalından dışarı doğru çıkıntı yapması durumuna verilen addır. Tıp literatüründeinguinal herniolarak geçen bu problem, genellikle kasık bölgesinde şişlik ve rahatsızlık hissiyle kendini gösterir.","Kasık fıtığı belirtilerikişiden kişiye değişebilir, ancak en sık görülenkasık fıtığı belirtilerişunlardır: Kasık bölgesinde şişlikAyakta dururken veya zorlanırken artan ağrıEgzersiz veya uzun süreli ayakta kalma sonrası hissedilen rahatsızlıkYanma veya baskı hissiMide bulantısı vekusma(fıtık sıkışmışsa acil müdahale gerektirir)"
Kasık Mantarı,"Kasık mantarı, dermatofit olarak bilinen patojenik mantarların neden olduğu genital, kasık ve perianal cildi kapsayan bir enfeksiyondur.  Bu durum akut veya kronik bir döküntü olarak ortaya çıkar. Bu enfeksiyon, çoğunlukla sıcak ve nemli ortamlarda gelişir, terleme ve sürtünme gibi faktörlerle tetiklenebilir. Kasık mantarı belirtileri arasında kaşıntı, kızarıklık, deride soyulma ve genellikle belirgin sınırlara sahip lezyonlar bulunur. Enfeksiyon, kişisel eşyaların paylaşımı, cinsel temas, hijyen eksikliği ve enfekte cilt bölgeleriyle temas yoluyla yayılabilir.","Kasık mantarı, cilt yüzeyinde gelişen mantar enfeksiyonlarından biridir ve çeşitli belirtilerle kendini gösterebilir. Bu belirtiler, enfekte olan bölgenin kaşıntı, kızarıklık ve diğer rahatsız edici durumlar meydana getirebilir.Kişilerde yaygın görülenkasıkta mantarbelirtileri şunlardır: Kaşıntı: En belirgin belirtilerden biri kaşıntıdır. Mantar enfeksiyonu, cildin tahriş olmasına vekaşıntıhissinin artmasına neden olabilir.Kızarıklık: Enfekte olan bölgede kızarıklık görülebilir. Bu genellikle cildin iltihaplanmasından kaynaklanır.Döküntü: Mantar enfeksiyonları, döküntülerin ortaya çıkmasına neden olabilir. Bu döküntüler genellikle küçük, kırmızı lekeler şeklinde olabilir.Yanma Hissi: Enfekte olan bölgede yanma veya karıncalanma hissi yaşanabilir.Kabarcıklar: Nadiren de olsa, kasık mantarı kabarcıkların oluşmasına neden olabilir. Bu kabarcıklar genellikle sıvı ile dolu olup patlayabilir.Cilt Soyulması: Mantar enfeksiyonu, cildin soyulmasına ve pul pul dökülmesine yol açabilir."
Katarakt,"Katarakt, gözdeki merceğin saydamlığını kaybetmesiyle ortaya çıkan bir göz hastalığıdır. Normalde şeffaf olan göz merceği, yaşlanma, genetik faktörler, göz yaralanmaları, bazı hastalıklar (örneğin;diyabet) veya aşırı ultraviyole ışınına maruz kalma gibi nedenlerle opaklaşır. Bu opaklaşma, görme netliğini bozarak bulanık, puslu veya soluk görmelere yol açar. Katarakt, genellikle yaşlılarda görülse de, gençlerde de çeşitli nedenlerle gelişebilir ve tedavi edilmezse görme kaybına yol açabilir. Kataraktın tek tedavi yöntemi, cerrahi müdahale ile bulanıklaşan merceğin alınarak yerine yapay bir mercek yerleştirilmesidir.","Katarakt belirtileri, merceğin bulanıklaşması sonucu ortaya çıkan çeşitli görme sorunlarını içerir. Bu belirtiler, kataraktın evresine ve türüne göre değişiklik gösterebilir. İşte kataraktın yaygın belirtileri: Bulanık veya Puslu Görme:Kataraktın en belirgin belirtisi, görüşün bulanıklaşması veya puslu hale gelmesidir. Sanki bir sis perdesinin arkasından bakıyormuş gibi hissedebilirsiniz.Gece Görüşünde Zorluk:Katarakt, özellikle gece veya loş ışıkta görmeyi zorlaştırabilir. Araç kullanırken veya karanlık ortamlarda hareket ederken sorun yaşayabilirsiniz.Işık Hassasiyeti (Göz Kamaşması):Katarakt, ışığa karşı hassasiyeti artırabilir. Güneş ışığı, farlar veya parlak lambalar göz kamaşmasına neden olabilir.Renklerin Soluk veya Sarımsı Görülmesi:Katarakt, renklerin canlılığını azaltabilir ve soluk veya sarımsı görünmesine neden olabilir.Çift Görme:Bazı durumlarda, katarakt çift görmeye yol açabilir.Sık Sık Gözlük veya Lens Değiştirme İhtiyacı:Katarakt ilerledikçe, gözlük veya lens numaralarınız sık sık değişebilir.Gözlük Numaralarının Sık Değişmesi:Sürekli gözlük veya lens numaranızın değişmesi katarakt habercisi olabilir.Işıkların etrafında hale veya parlamalar görmek:Özellikle gece ışıkların etrafında parlamalar görülür."
Kemik İltihabı (Osteomiyelit),"Kemik iltihabı nedir? Osteomyelit, bilinen diğer adıyla kemik iltihabı mantar ve bakteri kaynaklı bir hastalıktır. Vücuttaenfeksiyona sebep olan mikroorganizmalar kemik bölgesinde yerleşir ve hastalık oluşturur. Eskiden çözümsüz olarak nitelendirilen kemik iltihabı artık cerrahi ve cerrahi dışı yöntemlerle tedavi edilebilen bir rahatsızlıktır. Kan dolaşımının bakteriyel hale gelmesinin neticesinde ortaya çıkar ve hastalığın kolaylıkla tedavi edilmesinde erken teşhis önemli bir yere sahiptir.",
Kemik Kanseri,"Kemik kanseri, aynı zamanda kemik iliği kanseri olarak da bilinir. Son derece nadiren gözlemlenen bir kanser türüdür. Kemik iliği kanseri nedir, sorusuna kabaca kemiklerde oluşan tümörler nedeniyle gelişe bir kanser türü cevabını vermek mümkündür. Vücuttaki hemen tüm kemiklerde tümör oluşması olasıdır. Bununla birlikte her tümör kötü huylu değildir. Kemiklerde oluşan tümörlerde bazı durumlarda kötü huylu olmayabilir.",
Kıl Dönmesi,"Kıl dönmesi, tüylerin büyümesi sırasında kıl folikülünün cilt altına doğru saplanması sonucu ortaya çıkar. Kıl dönmesinde erken tanı ve tedavi, oluşan sorunların daha ciddi hale gelmesini önleyebilir. Tedavi, kıl dönmesi bölgesindeki enfeksiyonun kontrol altına alınmasını sağlamak ve rahatsızlığın tekrarlamasını önlemek için uygulanır.","Kıl dönmesi, genellikle enfeksiyon geliştirdiğinde daha fazla rahatsızlık yaratan bir durumdur. Bu nedenle kıl dönmesi belirtileri görülüyorsa veya bu konuda bir şüphe varsa, bir sağlık profesyoneline başvurmak önemlidir. Kıl dönmesinin en yaygın belirtileri şunlardır: Ağrı:Kıl dönmesi genellikle belirgin bir ağrıya yol açar. Bu ağrı genellikle kuyruk sokumu çevresinde ve alt sırt bölgesinde hissedilir. Oturmak, yürümek veya hareket etmek ağrıyı artırabilir.Kızarıklık ve Şişlik:Kıl dönmesi bölgesi kızarabilir ve şişebilir. Bu, cilt altındaki enfeksiyonun bir belirtisi olabilir.İrin:Kıl dönmesi enfekte olduğunda, bölgede irin (pü) birikimi olabilir. Bu irin genellikle kötü kokulu ve sarı-yeşil renkte olabilir.Kıl Dönmesi Deliği veya Yol Açıklığı:Kıl dönmesinin olduğu bölgede, dışarıya doğru bir delik veya yol açıklığı bulunabilir. Bu, kılın cilt altına doğru saplandığı ve bir kist veya sinüs oluşturduğu bir belirti olabilir.Kaşıntı:Kıl dönmesi bölgesi kaşıntıya neden olabilir. Kaşınma, enfeksiyonun bir sonucu veya tüylerin cilt altında saplandığı hissinden kaynaklanabilir.Ateş:Kıl dönmesi enfekte olduğunda, vücut ısısı yükselerek ateşe neden olabilir. Bu durum ciddi bir enfeksiyonun belirtisi olabilir.Yorgunluk ve Halsizlik:İleri aşamalarda veya tedavi edilmediğinde, kıl dönmesi hastalığı kişinin genel sağlık durumunu etkileyebilir ve yorgunluk, halsizlik gibi belirtilere neden olabilir."
